user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
CryptoClick,"New York, NY",Curated Crypto News - One click away!,2009-07-16 23:29:06,11699,6611,2,False,2023-03-01 23:57:18,🔥 Deep comparison of Bitcoin Miners| Gold Miners - Astonishing❓ Check the post https://t.co/oiEGjjVOOM #bitcoin @tradingview #crypto $btc #btc,"['bitcoin', 'crypto', 'btc']",Make (formerly Integromat),False
Sergio,coin hunt world,"professional coin hunt world player

-living with autism-",2022-05-16 21:05:33,185,76,13134,False,2023-03-01 23:57:12,"c03x found #bitcoin in a User vault at this location! Join me playing #coinhuntworld, It's awesome! https://t.co/a37s2OfkQa #cryptocurrency #48027 https://t.co/p92Mo6hJkC","['bitcoin', 'coinhuntworld', 'cryptocurrency']",Twitter for Android,False
MahigouneTradingPro,Paris,#Bourse/Bitcoin,2021-04-30 00:00:24,25,35,708,False,2023-03-01 23:57:01,"#bitcoin    / $BTC
Potentiel remake https://t.co/4Sa4hq5o54",['bitcoin'],Twitter for Android,False
Trader Jet Telegram Bot,,"The best assistant for #scalping on #Binance with more than 15 modules and #autotrading #ai system.

Have #RU and #EN versions!

Join for free 3 days trial 👇",2022-06-21 09:02:15,907,14,300,False,2023-03-01 23:56:59,"✅ #PUMP $SNX! +0.964% in 15 seconds
Current price: 3.038$!

 Follow and like for more signals!
60 #ai #cryptocurrency #BUSD #crypto #finance #altcoins #binance #bitcoin #btc #SNX https://t.co/QE5DxYc22E","['PUMP', 'ai', 'cryptocurrency', 'BUSD', 'crypto', 'finance', 'altcoins', 'binance', 'bitcoin', 'btc', 'SNX']",TwitterLikeRt_Nik,False
Ethereum Yoda,,"UP or DOWN...
.
.
.
.
Price matters NOT.",2022-07-24 04:50:18,576,1,0,False,2023-03-01 23:56:41,"#Ethereum price update: 

#ETH $1664.98 USD
#Bitcoin 0.07043578062184754 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto","['Ethereum', 'ETH', 'Bitcoin', 'BTC', 'altcoin', 'cryptocurrency', 'crypto']",Twitter Web App,False
BNB Price Tracker,,#BNB #BNBTracker #BinanceCoin #Binance,2022-07-11 05:24:30,492,5,0,False,2023-03-01 23:56:40,"#BinanceCoin price update: $BNB

#BNB $302.92 USD

#Bitcoin 0.01281 BTC

#Ethereum 0.18194 ETH

#altcoin #crypto #cryptocurrency

Follow for recent BNB price updates","['BinanceCoin', 'BNB', 'Bitcoin', 'Ethereum', 'altcoin', 'crypto', 'cryptocurrency']",Twitter Web App,False
Bitcoin updates,,"I tweet about the $BTC price every 15 minutes.
Data is retrieved from @binance.

#Bitcoin #BTC

More bots 🤖:
#ETH: @Ethereum8News
#BNB: @BNB8News",2021-01-09 15:26:06,6906,6,21,False,2023-03-01 23:56:36,"The $BTC price is at $23,628.11 right now.
🟢 Compared to the last tweet, the price has increased by $21.49 (0.09%).
🟢 In the last 24 hours the price has increased by $510.39 (2.21%).

#Bitcoin #BTC https://t.co/GhayrxhwpW","['Bitcoin', 'BTC']",Pamboo Crypto,False
Live Price Crypto,,"I Tweet the latest #BTC/#ETH/#BNB/#MATIC & #StableCoins price
+Daily/Weekly Technical Indicators 

Live since 20/03/2022

@web3africa1",2022-03-10 14:06:46,4463,9,24,False,2023-03-01 23:56:35,"Weekly 🚀

#BTC Last $23630

-RSI: 56
-Moving Average(20): 19758
-MA(50): 24092
-MA(200): 25181
-Bollinger B. lower/upper: 13837/25679

#ETH Last $1665 #ETH

-RSI: 55
-MA(20): 1424
-MA(50): 1695
-MA(200): 1430
-BB: 1032/1815

#Live #Bitcoin #Ethereum
(7/16)
461046","['BTC', 'ETH', 'ETH', 'Live', 'Bitcoin', 'Ethereum']",vaiotapi,False
theCryptolusionist 🧙🏻,The Netherlands,"Crypto dabbler with a slight affection for $WOO $VET $FET $AZERO $MLT and $METIS... Also interested in $BONE and $POKT. Charting fibs, Gartley and R/S",2021-04-20 20:27:58,363,200,211,False,2023-03-01 23:56:30,"$ETH working on a bullish engulfing on the 1D and on the 4H, beautiful bullish hammer candle on the 8H and looks like it’s flipping R/S on the 1H. We’ll know all in 5 minutes, looks too good to be true… Asia probably going to f** it up 🤌🏻

#ETH #Ethereum #Crypto #BTC #Bitcoin https://t.co/ybeF6CkPCn","['ETH', 'Ethereum', 'Crypto', 'BTC', 'Bitcoin']",Twitter for iPhone,False
Richardss Cumberbatche 📈,👉,"Check out our community of real traders helping each other profit. Education, live lessons, alerts, and more. 👉https://t.co/uju90xL4Ot",2020-11-04 08:56:22,870,41,41,False,2023-03-01 23:56:25,"$WOO #Bitcoin             in it's highest peak right now... 
https://t.co/sNRg9LsXGN
$BTC $ETH $DOGE $SOL $CRV $ATH $SL $ALGO $MATIC $FIB $S https://t.co/pyKeLkDeCu",['Bitcoin'],Twitter Web App,False
Trackify | #1 BTC Price Action Bot,Monitoring BTCUSDT...,📈| #1 BTC Price Action Bot 🕒| Notifies every 5 minutes,2023-01-18 02:40:53,119,1,206,False,2023-03-01 23:56:24,"Bitcoin has decreased -0.11% in the past 5 minutes!
Started at $23652.66
Ended at $23626.89

#BTC #crypto #bitcoin #cryptocurrency #ethereum #blockchain #eth #currency #xrp #trading #price #exchange #twitter #ltc #binance #finance","['BTC', 'crypto', 'bitcoin', 'cryptocurrency', 'ethereum', 'blockchain', 'eth', 'currency', 'xrp', 'trading', 'price', 'exchange', 'twitter', 'ltc', 'binance', 'finance']",bitcoinpricetracker,False
PlattsburghBTC,"Plattsburgh, NY","฿ miner that sells extra GH, so come mine with me! I'm also afraid of fans, loud whirring sounds, and ethernet cables. Oh god. Send help.",2015-08-29 17:25:50,3479,1774,297,False,2023-03-01 23:56:24,"1 ฿: $23649.6, 1 week ago: $0, 3 months ago: $0, 1 year ago: $8520 #bitcoin  https://t.co/N0BZQbcl79",['bitcoin'],Plattsburgh BTC status update,False
Bitcoin Price Ticker,,Tweets the current price of #bitcoin every 5 minutes,2022-10-20 07:10:38,122,9,9,False,2023-03-01 23:56:17,"1₿ = $23634 2.07%📈

Details:
Change: 📈478.79$
24H Low = $23079🔻
24H High = $23884💹

#bitcoin #btc","['bitcoin', 'btc']",BitcoinLivePriceTicker,False
Moniruzzaman Mithu 778.bnb,,,2023-02-08 00:17:30,15,314,294,False,2023-03-01 23:56:09,"@airdropinspect This project is very profitable project.thanks for Everything. @Sagorahemed4115 @MakeMon48808509  @hasan35241 

#Airdrop #Airdrops #Airdropinspector #ZebecLabs #NautilusChain #USDT #Crypto #Bitcoin","['Airdrop', 'Airdrops', 'Airdropinspector', 'ZebecLabs', 'NautilusChain', 'USDT', 'Crypto', 'Bitcoin']",Twitter Web App,False
Crypto Alerted,USA,Crypto Alerted Our Tweets are not Financial Advise Be Carefull,2020-04-10 11:35:27,1232,105,24,False,2023-03-01 23:56:08,KIRA Network (KEX) went up 10.3 percent in the last 1 minutes on https://t.co/rgEAV9gIXu. #KEX  #crypto #bitcoin #cryptocurrency #btc #ethereum #blockchain #eth #trading #altcoin #binance #cryptonews,"['KEX', 'crypto', 'bitcoin', 'cryptocurrency', 'btc', 'ethereum', 'blockchain', 'eth', 'trading', 'altcoin', 'binance', 'cryptonews']",Microsoft Power Platform,False
call me jonny,To the moon,100$ to 100.000$ crypto trader 24h/24h . BTC FROM ITALY BOY🇮🇹,2022-05-04 09:17:35,125,115,822,False,2023-03-01 23:56:06,"Join me at Bybit's Learn and Earn event! Prove your knowledge of the Ethereum Shanghai upgrade and earn 5 USDT with me. https://t.co/9p1tlOV4pL
https://t.co/9p1tlOV4pL 

#ETH #Ethereum #Bitcoin #Crypto","['ETH', 'Ethereum', 'Bitcoin', 'Crypto']",Twitter for iPhone,False
Cycushack+,,Professional Recovery Services | •Crypto | •iCloud ID •Instagram | Snapchat | DM 247,2021-01-08 13:12:27,13,11,459,False,2023-03-01 23:56:05,"Y’all Message me for any account recovery or hacking #CYBER #security #Coinbase #Bitcoin
#BNB","['CYBER', 'security', 'Coinbase', 'Bitcoin', 'BNB']",Twitter for iPhone,False
Keepcalm2021,,,2021-03-03 00:41:05,98,257,154,False,2023-03-01 23:56:04,"PhrozenKhaos found #bitcoin in a Green vault at this location! Join me playing #coinhuntworld, It's awesome! https://t.co/3a8DABboMa #cryptocurrency #321163 https://t.co/gRNSuF0uIi","['bitcoin', 'coinhuntworld', 'cryptocurrency']",Twitter for Android,False
Dr. ₿itcoin⚡️,"Moon, PA","Not a trader, nor analyst or investor, #Bitcoin believer. BUY-DCA-HODL-SELL. Follow the cycles. NFA. Power to the people! Free the money! Only lightning!⚡️∞/21M",2022-10-12 00:47:07,3159,5000,224,False,2023-03-01 23:56:01,"#Bitcoin       1000 Sats everyday! Do you want 1000 Sats? 🚀🚀🚀
Follow, retweet, and comment your #Lightningnetwork⚡️ address to stack more Satoshis! #Crypto #Stakingsats #DCA #Giveaway #BTC      
Let's fuckin' go!! 🚀🚀🚀","['Bitcoin', 'Lightningnetwork', 'Crypto', 'Stakingsats', 'DCA', 'Giveaway', 'BTC']",Twitter for Android,False
Cycushack+,,Professional Recovery Services | •Crypto | •iCloud ID •Instagram | Snapchat | DM 247,2021-01-08 13:12:27,13,11,459,False,2023-03-01 23:55:50,Y’all Message me for any account recovery or  account hack  #CYBER #security #Coinbase #Bitcoin #BNB #facebook #snapchat #instagram,"['CYBER', 'security', 'Coinbase', 'Bitcoin', 'BNB', 'facebook', 'snapchat', 'instagram']",Twitter for iPhone,False
YearlyMadeDaily,,Follow for more info about the market as a whole and individual coins. $INJ $STX $MNW $ADA,2022-04-23 22:10:51,117,17,572,False,2023-03-01 23:55:48,@WhaleChart Can’t beat #Bitcoin with a max of 21 million.,['Bitcoin'],Twitter for iPhone,False
Ethereum Yoda,,"UP or DOWN...
.
.
.
.
Price matters NOT.",2022-07-24 04:50:18,576,1,0,False,2023-03-01 23:55:40,"#Ethereum price update: 

#ETH $1663.89 USD
#Bitcoin 0.07042086 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto","['Ethereum', 'ETH', 'Bitcoin', 'BTC', 'altcoin', 'cryptocurrency', 'crypto']",Twitter Web App,False
Sergio,coin hunt world,"professional coin hunt world player

-living with autism-",2022-05-16 21:05:33,185,76,13134,False,2023-03-01 23:55:40,"c03x found #bitcoin in a User vault at this location! Join me playing #coinhuntworld, It's awesome! https://t.co/a37s2OfkQa #cryptocurrency #29262 https://t.co/WEJ6Af2nT6","['bitcoin', 'coinhuntworld', 'cryptocurrency']",Twitter for Android,False
yanyan,英国伦敦14 Parliament Mews,"Be a positive person. Don't be sad, don't be impatient. Be strong, up, and close to the sun. Life can't wait for others to arrange it.",2013-12-08 01:29:52,23223,199,505,False,2023-03-01 23:55:39,"#Bitcoin Time to accumulate is ticking away.⌛️⏲️

#BTC accumulation phase is nearing its end according to Williams %R. I hope you were among those who dared scooping up some during this period. 🫡 https://t.co/KzN07ip6Cn","['Bitcoin', 'BTC']",Twitter Web App,False
Mathilda Newton ₿,"Lancaster, TX","@saylor opinion, only account YouTube expert⚡️, Building newbie & Bitcoin holders💰, mentorship, Trading acct management. Earn $80k monthly⚜️ $BTC #Arsenalfan⚽️",2015-07-15 11:04:31,3963,26,123449,False,2023-03-01 23:55:32,#Bitcoin  stands alone in cyberspace. #invest #earn #trade #btc $BTC. https://t.co/jXm5naHKqG,"['Bitcoin', 'invest', 'earn', 'trade', 'btc']",Twitter for iPhone,False
Guns N' Roses,,,2010-09-20 01:07:30,330,305,80,False,2023-03-01 23:55:02,"Trade crypto on Bybit! Get up to $100 Bonus when you sign up with my link and trade! https://t.co/0Y89yZ1qEh 
#NFT #GameFi #Metaverse #bitcoin #Mining #Giveaway","['NFT', 'GameFi', 'Metaverse', 'bitcoin', 'Mining', 'Giveaway']",Botbird tweets,False
Ethereum Yoda,,"UP or DOWN...
.
.
.
.
Price matters NOT.",2022-07-24 04:50:18,576,1,0,False,2023-03-01 23:54:39,"#Ethereum price update: 

#ETH $1665.03 USD
#Bitcoin 0.07041317197377886 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto","['Ethereum', 'ETH', 'Bitcoin', 'BTC', 'altcoin', 'cryptocurrency', 'crypto']",Twitter Web App,False
BNB Price Tracker,,#BNB #BNBTracker #BinanceCoin #Binance,2022-07-11 05:24:30,492,5,0,False,2023-03-01 23:54:39,"#BinanceCoin price update: $BNB

#BNB $302.92 USD

#Bitcoin 0.01281 BTC

#Ethereum 0.18193 ETH

#altcoin #crypto #cryptocurrency

Follow for recent BNB price updates","['BinanceCoin', 'BNB', 'Bitcoin', 'Ethereum', 'altcoin', 'crypto', 'cryptocurrency']",Twitter Web App,False
Awais Junaid ᅠᅠᅠᅠᅠᅠᅠ ᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ,Pakistan,"Own Question Mark YT Channel!!!Technical Analyst, Crypto Trader&Educator, Not Financial Advice,  Never Ask for Money. Link 👇",2020-10-17 07:48:55,42,63,1099,False,2023-03-01 23:54:38,"Bitcoin, Next Sanrio!

Link👇

https://t.co/3YXo6ktlma

#Crypto #cryptoart #Cryptocurency #cryptocurrency #CryptocurrencyMarket #CryptoInvestor #cryptotrading #CryptoTwitter #Bitcoin #Bitcoin2023 #BitcoinCash #BTC #BTCC #AdimFarah #bachelor #OMAnnecy #TheMandalorian #الأهلي_جدّة","['Crypto', 'cryptoart', 'Cryptocurency', 'cryptocurrency', 'CryptocurrencyMarket', 'CryptoInvestor', 'cryptotrading', 'CryptoTwitter', 'Bitcoin', 'Bitcoin2023', 'BitcoinCash', 'BTC', 'BTCC', 'AdimFarah', 'bachelor', 'OMAnnecy', 'TheMandalorian', 'الأهلي_جدّة']",Twitter for iPhone,False
CNS Signals,"California, USA",Crypto Trader #BTC #binance Whales hunter Crypto signals based on technicals and fundamentals | Invest at your own risk.,2023-02-24 12:07:39,25,22,4,False,2023-03-01 23:54:36,"#DYDX / USDT (BINANCE)

🎯 TARGET 2: DONE ✅️ 

#crypto #bitcoin #cryptocurrency #blockchain #ethereum #btc #forex #trading #money #cryptonews #cryptotrading #bitcoinmining #cryptocurrencies #investing #eth #investment #bitcoinnews #bitcoins #nft #business #invest #entrepreneur https://t.co/IoJS8xtli8","['DYDX', 'crypto', 'bitcoin', 'cryptocurrency', 'blockchain', 'ethereum', 'btc', 'forex', 'trading', 'money', 'cryptonews', 'cryptotrading', 'bitcoinmining', 'cryptocurrencies', 'investing', 'eth', 'investment', 'bitcoinnews', 'bitcoins', 'nft', 'business', 'invest', 'entrepreneur']",Twitter for Android,False
Live Price Crypto,,"I Tweet the latest #BTC/#ETH/#BNB/#MATIC & #StableCoins price
+Daily/Weekly Technical Indicators 

Live since 20/03/2022

@web3africa1",2022-03-10 14:06:46,4463,9,24,False,2023-03-01 23:54:34,"Daily 🚀

#BTC Last $23650

-RSI: 54
-Moving Average(20): 23407
-MA(50): 22679
-MA(200): 19737
-Bollinger B. lower/upper: 21353/25461

#ETH Last $1665

-RSI: 56
-MA(20): 1621
-MA(50): 1599
-MA(200): 1433
-BB: 1496/1745

#Crypto #Bitcoin #Ethereum
(5/16)
461044","['BTC', 'ETH', 'Crypto', 'Bitcoin', 'Ethereum']",vaiotapi,False
Vania,Україна,,2021-04-29 07:53:32,54,85,236,False,2023-03-01 23:54:30,"Received this mallard recently from @MallardOrder , another step forward with #Bitcoin 🦆❤️

#CNFTCommunity #CNFTs #RestoringOrder #MallardUP #Ordinals #OrdinalsNFTs #BTCnft #OrdinalsNft https://t.co/C9J39jKMux","['Bitcoin', 'CNFTCommunity', 'CNFTs', 'RestoringOrder', 'MallardUP', 'Ordinals', 'OrdinalsNFTs', 'BTCnft', 'OrdinalsNft']",Twitter Web App,False
